image_id,particle_id,area_px,area_um2,perimeter_px,circularity,equivalent_diameter_px,equivalent_diameter_um,aspect_ratio,area,perimeter,metric_error_code,metric_error_message,is_edge_particle,validation_status,rejection_reason
img_RDBS_0485,28,8816.0,62.66568049759999,355.9482681718907,0.8743950230550849,105.94753336621478,8.932436538105568,1.2040816326530612,8816.0,355.9482681718907,,,False,valid,
img_RDBS_0485,29,8689.0,61.762942132899994,351.01933598375615,0.88617109580219,105.18164480651474,8.867864473637256,0.9545454545454546,8689.0,351.01933598375615,,,False,valid,
img_RDBS_0485,30,8676.0,61.67053584359999,352.8772003600252,0.8755525333434362,105.1029318816667,8.86122818694332,1.009433962264151,8676.0,352.8772003600252,,,False,valid,
img_RDBS_0485,31,8514.0,60.51901131539999,349.22034611053283,0.8772925331790686,104.11705664239254,8.778109045520115,1.2234042553191489,8514.0,349.22034611053283,,,False,valid,
img_RDBS_0485,32,8493.0,60.3697396173,355.9482681718907,0.8423589985034977,103.98857366766667,8.767276645920976,0.981651376146789,8493.0,355.9482681718907,,,False,valid,
img_RDBS_0485,33,8449.0,60.056979868899994,343.13708498984755,0.9017369358032238,103.7188551492321,8.744536677631757,0.9313725490196079,8449.0,343.13708498984755,,,False,valid,
img_RDBS_0485,34,8349.0,59.346162258899994,355.5462479183373,0.8299503746184678,103.10323447396728,8.692633698500181,1.0363636363636364,8349.0,355.5462479183373,,,False,valid,
img_RDBS_0485,35,8249.0,58.635344648899995,347.84776310850236,0.8567078331746951,102.48391583326799,8.640418943902823,1.2526315789473683,8249.0,347.84776310850236,,,False,valid,
img_RDBS_0485,36,8235.0,58.535830183499996,348.7766952966369,0.8507041487568231,102.39691231132932,8.633083676968175,1.2659574468085106,8235.0,348.7766952966369,,,False,valid,
img_RDBS_0485,37,8113.0,57.6686326993,346.14927829866735,0.8508724832949295,101.63558641753573,8.568896290862437,1.0808080808080809,8113.0,346.14927829866735,,,False,valid,
img_RDBS_0485,38,8091.0,57.5122528251,337.9066376115481,0.890468619816861,101.4976903995958,8.557270277589922,1.0404040404040404,8091.0,337.9066376115481,,,False,valid,
img_RDBS_0485,39,8055.0,57.256358485499995,341.32085117392114,0.8688599297277938,101.271637356378,8.538211745516229,1.0198019801980198,8055.0,341.32085117392114,,,False,valid,
img_RDBS_0485,40,7962.0,56.5952981082,333.56349186104046,0.8992387519625483,100.6853179722911,8.488779158243862,0.8785046728971962,7962.0,333.56349186104046,,,False,valid,
img_RDBS_0485,41,7699.0,54.725847793899995,327.7645019878171,0.9005759631512439,99.00844032160096,8.347401603514177,1.0,7699.0,327.7645019878171,,,False,valid,
img_RDBS_0485,42,7566.0,53.7804603726,327.6639969244288,0.885561550150385,98.14953079595561,8.274986941407017,1.1538461538461537,7566.0,327.6639969244288,,,False,valid,
img_RDBS_0485,43,7554.0,53.69516225939999,325.46298679765215,0.8961560336644466,98.07166522971566,8.268422095517327,0.8598130841121495,7554.0,325.46298679765215,,,False,valid,
img_RDBS_0485,44,7523.0,53.474808800299996,328.04877323527904,0.8784642452938207,97.87022578416088,8.251438735862603,0.9607843137254902,7523.0,328.04877323527904,,,False,valid,
img_RDBS_0485,45,7506.0,53.3539698066,328.69343417595167,0.8730444709828871,97.75958276702151,8.242110423087583,1.1685393258426966,7506.0,328.69343417595167,,,False,valid,
img_RDBS_0485,46,7499.0,53.304212573899996,345.90663761154804,0.7875813547207674,97.71398746325413,8.238266283026956,1.423529411764706,7499.0,345.90663761154804,,,False,valid,
img_RDBS_0485,47,7458.0,53.0127773538,331.17871555019025,0.854490833424985,97.44650083319998,8.215714485247089,1.1777777777777778,7458.0,331.17871555019025,,,False,valid,
img_RDBS_0485,48,7427.0,52.79242389469999,321.32085117392114,0.9039522091712267,97.24376637475562,8.198621943055647,0.9795918367346939,7427.0,321.32085117392114,,,False,valid,
img_RDBS_0485,49,7412.0,52.6858012532,321.0782104868019,0.9034905346814683,97.14551716665585,8.190338552320755,1.075268817204301,7412.0,321.0782104868019,,,False,valid,
img_RDBS_0485,50,7396.0,52.5720704356,322.0071426749364,0.8963461472452029,97.04060837021409,8.181493691692749,1.1333333333333333,7396.0,322.0071426749364,,,False,valid,
img_RDBS_0485,51,7393.0,52.5507459073,323.0782104868019,0.8900516975948,97.020925342047,8.17983421558798,0.9595959595959596,7393.0,323.0782104868019,,,False,valid,
img_RDBS_0485,52,7389.0,52.522313202899994,325.0782104868019,0.8786578833168628,96.99467509120342,8.17762105693936,0.9306930693069307,7389.0,325.0782104868019,,,False,valid,
img_RDBS_0485,53,673.0,4.7838025153,346.03657992645924,0.07062865017292864,29.2726871606753,2.4679802545165344,1.2659574468085106,673.0,346.03657992645924,,,False,valid,
img_RDBS_0485,54,7308.0,51.946550938799994,327.27922061357856,0.8573764259910619,96.4615705497509,8.132675013049498,1.3132530120481927,7308.0,327.27922061357856,,,False,valid,
img_RDBS_0485,55,7226.0,51.3636804986,319.6639969244288,0.8886287716317085,95.91886649797466,8.086919634444243,0.9393939393939394,7226.0,319.6639969244288,,,False,valid,
img_RDBS_0485,56,7212.0,51.2641660332,322.492424049175,0.8714180445387345,95.8259025349096,8.079081842718228,1.255813953488372,7212.0,322.492424049175,,,False,valid,
img_RDBS_0485,57,7198.0,51.16465156779999,317.3208511739212,0.8983063821997472,95.73284829672467,8.071236439896856,1.0210526315789474,7198.0,317.3208511739212,,,False,valid,
img_RDBS_0485,58,7191.0,51.1148943351,324.2081528017131,0.859708635740605,95.68628724216734,8.067310877387127,1.223529411764706,7191.0,324.2081528017131,,,False,valid,
img_RDBS_0485,59,7122.0,50.624430184199994,331.6639969244288,0.8136079302684666,95.22611006233441,8.028513339355413,1.4146341463414633,7122.0,331.6639969244288,,,False,valid,
img_RDBS_0485,60,7011.0,49.835422637099995,324.1076477383247,0.838708942044411,94.48112217865655,7.965703410882533,1.1954022988505748,7011.0,324.1076477383247,,,False,valid,
img_RDBS_0485,61,6998.0,49.743016347799994,313.32085117392114,0.8957879308415387,94.39348671416195,7.958314864870994,0.9,6998.0,313.32085117392114,,,False,valid,
img_RDBS_0485,62,6943.0,49.3520666623,335.96551211459376,0.7729788894721744,94.02181746326879,7.926979430328191,1.5733333333333333,6943.0,335.96551211459376,,,False,valid,
img_RDBS_0485,63,6874.0,48.861602511399994,365.26197667087547,0.6474563010039316,93.55345333289151,7.887491650496083,1.2555555555555555,6874.0,365.26197667087547,,,False,valid,
img_RDBS_0485,64,6936.0,49.302309429599994,318.79393923934,0.8576277720782824,93.97440865620325,7.922982393804496,0.8979591836734694,6936.0,318.79393923934,,,False,valid,
img_RDBS_0485,65,6912.0,49.13171320319999,311.4213562373095,0.8956056198024134,93.81168228536062,7.909262933478753,0.9278350515463918,6912.0,311.4213562373095,,,False,valid,
